word,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009
amplifier,0,0,7,23,15,7,0,15,0,0,7,15,7,0,7,23,0,7,23,23,23,23,23,38,46,38,69,53,84,61,100,69,61,69,30,53,23,30,30,30,30,53,92,30,69
amplitude,2,10,29,27,54,45,78,43,56,32,16,16,0,2,0,2,10,10,16,32,32,24,59,35,40,29,37,48,56,62,59,67,51,54,62,64,72,35,48,62,100,35,72,75,45
amplitudes,21,17,80,95,89,78,100,78,76,58,36,32,8,10,4,17,2,0,26,13,26,15,41,36,21,13,13,21,36,54,34,21,17,43,63,26,10,39,19,34,58,65,32,23,60
an,0,2,1,2,8,4,3,6,9,5,6,10,8,7,6,9,8,14,15,14,22,25,25,28,33,33,33,37,47,52,53,53,59,63,63,64,66,78,75,84,93,96,94,100,99
analog,8,21,65,82,82,86,73,100,65,43,21,30,0,34,13,26,13,43,21,39,39,4,30,34,13,43,39,17,43,39,43,17,30,34,8,26,34,26,56,43,21,56,39,30,17
analyses,37,12,0,25,12,12,37,50,37,12,12,12,62,50,25,25,0,62,87,0,37,0,25,37,25,62,50,12,100,75,87,75,50,62,25,75,25,75,100,75,62,50,75,50,87
analysis,0,1,2,5,7,7,10,6,16,8,5,8,8,8,4,2,9,7,23,18,21,24,27,27,34,36,27,47,54,58,66,59,61,64,56,62,61,78,64,74,100,94,96,89,91
analytic,8,5,10,13,0,8,16,32,5,16,13,27,13,16,0,21,43,35,35,48,37,40,45,62,54,51,64,59,64,48,45,59,94,62,48,75,54,78,72,75,67,64,51,100,70
analytical,1,3,0,0,5,6,5,1,1,3,1,5,3,3,5,17,5,8,12,12,17,24,24,27,17,32,32,34,44,37,43,48,36,51,50,51,53,77,63,55,60,89,62,100,86
analyzing,0,0,0,4,4,4,17,8,17,30,8,30,21,34,30,52,47,100,65,47,43,65,34,52,39,73,43,52,39,52,52,43,52,34,65,26,30,30,30,17,21,34,39,43,26
anchoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,15,0,7,23,15,23,53,61,38,61,53,30,61,61,53,69,100,46,100,38,53,76,69
anderson,0,10,10,8,4,6,4,4,8,12,18,8,8,18,10,24,40,30,26,18,28,48,57,59,26,34,44,32,85,63,55,67,44,51,57,79,63,63,71,51,69,67,61,100,95
andreev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,0,5,0,2,19,36,33,22,22,47,61,63,58,66,61,50,100,69,58,75,94
angle,3,6,0,5,21,13,9,2,9,18,13,13,9,27,28,26,26,18,27,40,32,32,47,54,39,46,40,27,59,32,40,55,57,62,57,64,63,65,54,73,67,86,77,100,95
angles,11,33,33,44,66,66,77,22,11,44,0,66,22,44,100,44,55,44,100,22,33,11,22,22,77,55,55,55,44,0,77,11,66,77,55,66,55,66,33,44,77,66,88,33,88
angular,16,1,25,12,0,16,11,17,17,29,29,35,11,35,38,33,16,25,12,30,27,32,11,33,32,30,16,40,46,61,43,69,29,69,56,33,50,82,20,67,51,80,91,82,100
anharmonic,13,10,0,6,13,20,10,23,33,20,10,13,13,6,23,6,36,13,33,23,40,46,20,33,36,86,56,90,100,56,80,86,86,56,40,40,33,30,53,26,26,36,33,36,46
anharmonicity,0,20,10,20,10,30,30,60,50,50,50,20,10,20,20,30,60,0,30,60,20,60,80,10,40,40,90,100,70,40,30,60,50,60,100,30,30,30,50,30,60,70,40,50,40
