dependent	85.31	80.42	52.95	84.41
dephasing	40.56	74.71	64.71	56.52
depinning	33.25	60.81	47.06	36.38
depletion	22.57	47.34	41.18	27.14
depolarization	26.2	49.42	41.18	38.19
deposited	43.67	56.54	41.18	57.02
deposition	54.89	65.27	76.48	54.59
depth	65	68.08	47.06	63.74
der	74.78	62.3	64.71	73.42
derivation	34.93	59.18	47.06	39.26
derivative	38.36	54.37	41.18	42.02
derived	26.2	49.36	58.83	38.19
description	56.27	70.73	41.18	62.47
design	13.84	48.58	76.48	29.62
desorption	58.88	62.12	47.06	59.75
destruction	27.68	54.55	58.83	29.62
detachment	43.67	57.59	41.18	45.88
detailed	32.32	48.29	52.95	31.69
detected	57.11	58.99	52.95	60.97
detecting	22.57	56.07	64.71	28.45
detection	42.43	72.43	52.95	52.49
detector	37.1	61.39	41.18	46.18
detectors	53.71	63.01	58.83	56.52
determination	50.94	73.34	52.95	61.14
determined	44.8	60.89	47.06	54.59
determining	33.25	49.98	11.77	32.6
deterministic	32.32	59.7	58.83	35.71
deuterium	55.83	66.83	52.95	56.77
deuteron	57.9	75.91	64.71	65.58
deuterons	30.21	52.71	70.59	35
development	17.46	50.98	29.42	25.69
deviations	22.57	47.41	58.83	24.04
device	44.8	59.88	47.06	49.51
devices	38.94	66.07	64.71	50.59
di	36.42	47.14	23.53	37.61
diagonal	47.09	56.86	47.06	49.05
diagonalization	47.96	58.73	35.3	47.83
diagram	81.9	77.87	64.71	80.98
diagrams	62.62	64.3	52.95	62.55
diamagnetic	27.68	56.33	29.42	28.45
diamond	49.78	67.12	35.3	52.13
diatomic	64.41	61.49	58.83	64.36
dichroism	69.11	77.23	47.06	70.01
dicke	0	60.68	35.3	0
dielectric	61.33	72.13	58.83	62.63
dielectrics	26.2	55.86	47.06	39.26
dielectronic	57.51	69.84	58.83	56.65
difference	54.57	56.26	64.71	55.32
differences	46.48	54.04	52.95	47.3
differential	71	71.53	70.59	72.02
diffraction	78.33	75.61	70.59	79.85
diffractive	35.7	58.16	41.18	43.93
diffuse	54.06	59.3	35.3	58.19
diffusion	68.57	75.54	52.95	70.1
diffusive	45.5	60.5	70.59	46.18
dilaton	56.56	69.52	64.71	57.5
dilepton	46.16	61.43	47.06	47.57
dilute	60.11	71.35	70.59	64.89
diluted	68.9	71.25	41.18	69.92
dimension	49.78	74	41.18	57.96
dimensional	90.51	97.5	64.71	94.18
dimensionality	24.52	57.22	58.83	29.62
dimensions	68.74	84.16	41.18	70.88
dimer	50.26	66.68	64.71	55.03
dimers	34.93	64.21	29.42	41.17
dinger	76.4	66.36	94.12	75.37
