	0	0	0	0
ergebnis	0	27.4	99.91	0
erhalten	28.66	38.09	99.93	33.57
erhard	0	25.64	99.92	0
erhält	0	52.07	99.95	0
erich	0	41.32	99.93	0
erinnern	23.86	34.78	99.85	30.77
erinnert	31.98	45.25	99.98	31.98
erinnerung	7.52	38.8	99.9	7.52
erinnerungen	0	25.64	99.98	0
erklären	0	34.78	99.96	0
erklärt	0	44.82	99.9	0
erlaubt	21.13	40.12	99.89	22.58
erleben	26.04	30.34	99.95	29.41
erlebt	29.41	30.34	99.92	29.41
ermittlungen	0	56.36	99.98	0
erneut	25.01	50.74	99.93	25.01
ernährung	0	27.4	99.96	0
erreichen	25.01	27.4	99.95	25.01
erreicht	33.57	60.01	99.91	36.19
erscheint	26.99	23.61	99.95	28.66
erstenmal	22.58	0	99.93	26.04
erstmals	22.58	60.29	99.92	25.01
erwachen	21.13	28.95	99.92	22.58
erwarten	25.01	37.34	99.95	25.01
erwartet	23.86	55.61	99.92	27.86
erwartungen	0	23.61	99.93	0
erziehung	22.58	27.4	99.92	22.58
erzählen	0	34.78	99.98	0
erzähler	0	9.13	99.92	0
erzählt	0	28.95	99.98	0
erzählung	0	21.21	99.96	0
erzählungen	0	9.13	99.95	0
eröffnet	0	28.95	99.89	0
essay	21.13	48.61	99.93	21.13
essen	26.04	46.85	99.91	31.39
ethik	7.52	25.64	99.98	7.52
eu	17.48	90.07	99.98	17.48
euro	0	100	99.99	0
europa	15.05	86.3	99.92	15.05
europas	0	65.31	99.91	0
europäer	0	31.6	99.9	0
europäische	0	64.65	99.95	0
europäischen	0	57.42	99.98	0
europäischer	0	41.88	99.91	0
europäisches	0	0	99.93	0
evolution	19.46	18.27	99.86	19.46
ewg	0	0	99.92	0
ewig	37.97	33.8	99.91	37.97
ewige	27.86	25.64	99.87	27.86
ewigkeit	0	28.95	99.91	0
ex	11.93	56.54	99.95	11.93
exil	0	28.95	99.98	0
experiment	0	34.78	99.91	0
experimente	0	14.47	99.89	0
experten	0	46.47	99.93	0
export	0	28.95	99.85	0
extranjero	65.1	0	100	65.1
ezb	0	74.17	99.99	0
fabrik	0	21.21	99.91	0
facebook	0	69.89	100	0
fahren	21.13	40.12	99.86	26.04
fahrt	17.48	25.64	99.96	17.48
fair	15.05	38.09	99.91	17.48
fakten	0	43.91	99.98	0
fall	0	55.21	99.89	0
falle	11.93	33.8	99.89	11.93
fallen	21.13	46.08	99.89	23.86
falsch	31.39	37.34	99.91	34.05
falsche	32.53	42.94	99.91	32.53
falschen	27.86	35.69	99.91	30.11
falscher	22.58	40.12	99.9	26.04
familie	11.93	50.74	99.95	11.93
familien	0	37.34	99.91	0
fand	25.01	25.64	99.92	28.66
fans	0	41.88	99.96	0
farbe	0	9.13	99.92	0
farben	7.52	25.64	99.9	7.52
faschismus	0	27.4	99.92	0
fast	33.57	49.26	99.9	40.85
faust	0	28.95	99.92	0
fazit	0	28.95	99.92	0
fc	0	65.4	99.96	0
fdp	7.52	73.68	99.86	7.52
februar	0	50.74	99.95	0
fehlen	21.13	32.75	99.89	26.99
fehler	0	55.8	99.92	0
fehlt	28.66	49.57	99.91	30.77
feiern	23.86	39.48	99.93	23.86
feiert	22.58	31.6	99.95	25.01
feind	0	31.6	99.92	0
feinde	0	44.82	99.89	0
fenster	0	25.64	99.89	0
ferien	0	14.47	99.92	0
fern	48.25	21.21	99.98	48.25
ferne	17.48	18.27	99.89	17.48
fernen	21.13	0	99.93	21.13
fernseh	0	18.27	99.9	0
fernsehen	11.93	41.88	99.86	11.93
fertig	28.66	23.61	99.95	29.41
fesseln	22.58	9.13	99.92	22.58
fest	45.83	50.46	99.89	46.3
feste	21.13	18.27	99.95	21.13
festival	0	48.94	99.89	0
festspiele	0	46.08	99.9	0
festung	0	28.95	99.91	0
fett	15.05	14.47	99.99	15.05
feuer	0	37.34	99.86	0
fiat	0	59.45	99.91	0
fifa	0	51.82	99.99	0
film	0	84.22	99.9	0
filme	0	75.17	99.93	0
filmtips	0	0	99.93	0
finale	15.05	40.12	99.9	15.05
finanzen	0	60.15	99.95	0
finanzkrise	0	73.44	99.99	0
finanzmarkt	0	70.02	99.95	0
finanzminister	0	69.83	99.87	0
finanzpolitik	19.46	48.94	99.9	19.46
finden	31.39	44.38	99.91	32.53
findet	30.11	41.88	99.9	32.53
finger	0	36.54	99.86	0
finnland	0	46.85	99.91	0
firma	0	21.21	99.89	0
firmen	0	32.75	99.98	0
fisch	0	25.64	99.9	0
fische	0	27.4	99.89	0
fischer	0	43.43	99.87	0
fit	17.48	25.64	99.92	17.48
flagge	0	21.21	99.95	0
fleisch	0	37.34	99.91	0
fliegen	23.86	43.91	99.84	23.86
